# name	cardType	attribute	monsterType	monsterAbility	type	level	attack	defense	lpendulum	rpendulum	spellType	trapType
Elemental HERO Darkbright	Monster	Dark	Fusion	Effect	Warrior	6	2000	1000	0	0	None	None
Elemental HERO Divine Neos	Monster	Light	Fusion	Effect	Warrior	12	2500	2500	0	0	None	None
Elemental HERO Electrum	Monster	Light	Fusion	Effect	Warrior	10	2900	2600	0	0	None	None
Elemental HERO Flame Wingman	Monster	Wind	Fusion	Effect	Warrior	6	2100	1200	0	0	None	None
Elemental HERO Flare Neos	Monster	Fire	Fusion	Effect	Warrior	7	2500	2000	0	0	None	None
Elemental HERO Flash	Monster	Light	Effect	None	Warrior	4	1100	1600	0	0	None	None
Elemental HERO Gaia	Monster	Earth	Fusion	Effect	Warrior	6	2200	2600	0	0	None	None
Elemental HERO Glow Neow	Monster	Light	Fusion	Effect	Warrior	7	2500	2000	0	0	None	None
Elemental HERO Grand Neos	Monster	Earth	Fusion	Effect	Warrior	7	2500	2000	0	0	None	None
Elemental HERO Great Tornado	Monster	Wind	Fusion	Effect	Warrior	8	2800	2200	0	0	None	None
Elemental HERO Heat	Monster	Fire	Effect	None	Pyro	4	1600	1200	0	0	None	None
Elemental HERO Ice Edge	Monster	Water	Effect	None	Warrior	3	800	900	0	0	None	None
Elemental HERO Inferno	Monster	Fire	Fusion	Effect	Pyro	8	2300	1600	0	0	None	None
Elemental HERO Knospe	Monster	Earth	Effect	None	Plant	3	600	1000	0	0	None	None
Elemental HERO Lady Heat	Monster	Fire	Effect	None	Pyro	4	1300	1000	0	0	None	None
Elemental HERO Magma Neos	Monster	Fire	Fusion	Effect	Warrior	9	3000	2500	0	0	None	None
Elemental HERO Marine Neos	Monster	Water	Fusion	Effect	Warrior	8	2800	2300	0	0	None	None
Elemental HERO Mariner	Monster	Water	Fusion	Effect	Warrior	5	1400	1000	0	0	None	None
Elemental HERO Mudballman	Monster	Earth	Fusion	Effect	Warrior	6	1900	3000	0	0	None	None
Elemental HERO Necroid Shaman	Monster	Dark	Fusion	Effect	Warrior	6	1900	1800	0	0	None	None
Elemental HERO Necroshade	Monster	Dark	Effect	None	Warrior	5	1600	1800	0	0	None	None
Elemental HERO Neo Bubbleman	Monster	Water	Effect	None	Warrior	4	800	1200	0	0	None	None
Elemental HERO Neos	Monster	Light	Normal	None	Warrior	7	2500	2000	0	0	None	None
Elemental HERO Neos Alius	Monster	Light	Effect	Gemini	Warrior	4	1900	1300	0	0	None	None
Elemental HERO Neos Knight	Monster	Light	Fusion	Effect	Warrior	7	2500	1000	0	0	None	None
Elemental HERO Nova Master	Monster	Fire	Fusion	Effect	Warrior	8	2600	2100	0	0	None	None
Elemental HERO Ocean	Monster	Water	Effect	None	Warrior	4	1500	1200	0	0	None	None
Elemental HERO Phoenix Enforcer	Monster	Fire	Fusion	Effect	Warrior	6	2100	1200	0	0	None	None
Elemental HERO Plasma Vice	Monster	Earth	Fusion	Effect	Warrior	8	2600	2300	0	0	None	None
Elemental HERO Poison Rose	Monster	Earth	Effect	None	Plant	6	1900	2000	0	0	None	None
Elemental HERO Prisma	Monster	Light	Effect	None	Warrior	4	1700	1100	0	0	None	None
Elemental HERO Rampart Blaster	Monster	Earth	Fusion	Effect	Warrior	6	2000	2500	0	0	None	None
Elemental HERO Shining Flare Wingman	Monster	Light	Fusion	Effect	Warrior	8	2500	2100	0	0	None	None
Elemental HERO Shining Phoenix Enforcer	Monster	Fire	Fusion	Effect	Warrior	8	2500	2100	0	0	None	None
Elemental HERO Sparkman	Monster	Light	Normal	None	Warrior	4	1600	1400	0	0	None	None
Elemental HERO Steam Healer	Monster	Water	Fusion	Effect	Warrior	5	1800	1000	0	0	None	None
Elemental HERO Storm Neos	Monster	Wind	Fusion	Effect	Warrior	9	3000	2500	0	0	None	None
Elemental HERO Stratos	Monster	Wind	Effect	None	Warrior	4	1800	300	0	0	None	None
Elemental HERO Tempest	Monster	Wind	Fusion	Effect	Warrior	8	2800	2800	0	0	None	None
Elemental HERO Terra Firma	Monster	Earth	Fusion	Effect	Warrior	8	2500	2000	0	0	None	None
Elemental HERO The Shining	Monster	Light	Fusion	Effect	Warrior	8	2600	2100	0	0	None	None
Elemental HERO Thunder Giant	Monster	Light	Fusion	Effect	Warrior	6	2400	1500	0	0	None	None
Elemental HERO Voltic	Monster	Light	Effect	None	Thunder	4	1000	1500	0	0	None	None
Elemental HERO Wildedge	Monster	Earth	Fusion	Effect	Warrior	8	2600	2300	0	0	None	None
Elemental HERO Wildheart	Monster	Earth	Effect	None	Warrior	4	1500	1600	0	0	None	None
Elemental HERO Wild Wingman	Monster	Earth	Fusion	Effect	Warrior	8	1900	2300	0	0	None	None
Elemental HERO Woodsman	Monster	Earth	Effect	None	Warrior	4	1000	2000	0	0	None	None
Elemental Mistress Doriado	Monster	Light	Ritual	Effect	Spellcaster	3	1200	1400	0	0	None	None
Elephant Statue of Blessing	Monster	Earth	Effect	None	Rock	3	1500	0	0	0	None	None
Elephant Statue of Disaster	Monster	Earth	Effect	None	Rock	3	1500	0	0	0	None	None
Elephun	Monster	Earth	Effect	Tuner	Beast	2	500	300	0	0	None	None
Emes the Infinity	Monster	Light	Effect	None	Machine	7	2500	2000	0	0	None	None
Emissary from Pandemonium	Monster	Earth	Effect	Tuner	Fiend	7	2600	1800	0	0	None	None
Emissary of the Afterlife	Monster	Dark	Effect	None	Fiend	4	1600	600	0	0	None	None
Emissary of the Oasis	Monster	Light	Effect	None	Spellcaster	3	600	400	0	0	None	None
Emperor of Lightning	Monster	Light	Effect	None	Thunder	8	2600	2600	0	0	None	None
Emperor Sem	Monster	Light	Effect	None	Fiend	4	1300	2200	0	0	None	None
Empress Judge	Monster	Earth	Fusion	None	Warrior	6	2100	1700	0	0	None	None
Empress Mantis	Monster	Wind	Normal	None	Insect	6	2200	1400	0	0	None	None
Enchanting Mermaid	Monster	Water	Normal	None	Fish	3	1200	900	0	0	None	None
Endless Decay	Monster	Dark	Effect	None	Zombie	5	0	0	0	0	None	None
Endymion, the Master Magician	Monster	Dark	Effect	None	Spellcaster	7	2700	1700	0	0	None	None
Energy Bravery	Monster	Light	Effect	None	Warrior	4	1700	1200	0	0	None	None
Enishi, Shien's Chancellor	Monster	Light	Effect	None	Warrior	6	2200	1200	0	0	None	None
Enraged Battle Ox	Monster	Earth	Effect	None	BeastWarrior	4	1700	1000	0	0	None	None
Enraged Muka Muka	Monster	Earth	Effect	None	Rock	5	1200	600	0	0	None	None
Eria the Water Charmer	Monster	Water	Effect	None	Spellcaster	3	500	1500	0	0	None	None
Esper Girl	Monster	Earth	Effect	Tuner	Psychic	2	500	300	0	0	None	None
Etoile Cyber	Monster	Earth	Effect	None	Warrior	4	1200	1600	0	0	None	None
Evigishki Mind Augus	Monster	Water	Ritual	Effect	Aqua	6	2500	2000	0	0	None	None
Evigishki Soul Ogre	Monster	Water	Ritual	Effect	Aqua	8	2800	2800	0	0	None	None
Evil Dragon Ananta	Monster	Dark	Effect	None	Reptile	8	0	0	0	0	None	None
Evil HERO Dark Gaia	Monster	Earth	Fusion	Effect	Fiend	8	0	0	0	0	None	None
Evil HERO Infernal Gainer	Monster	Earth	Effect	None	Fiend	4	1600	0	0	0	None	None
Evil HERO Infernal Prodigy	Monster	Dark	Effect	None	Fiend	2	300	600	0	0	None	None
Evil HERO Infernal Sniper	Monster	Fire	Fusion	Effect	Fiend	6	2000	2500	0	0	None	None
Evil HERO Inferno Wing	Monster	Fire	Fusion	Effect	Fiend	6	2100	1200	0	0	None	None
Evil HERO Lightning Golem	Monster	Light	Fusion	Effect	Fiend	6	2400	1500	0	0	None	None
Evil HERO Malicious Edge	Monster	Earth	Effect	None	Fiend	7	2600	1800	0	0	None	None
Evil HERO Malicious Fiend	Monster	Fire	Fusion	Effect	Fiend	8	3500	2100	0	0	None	None
Evil HERO Wild Cyclone	Monster	Earth	Fusion	Effect	Fiend	8	1900	2300	0	0	None	None
Evil Thorn	Monster	Dark	Effect	None	Plant	1	100	300	0	0	None	None
Evocator Chevalier	Monster	Fire	Effect	Gemini	Warrior	4	1900	900	0	0	None	None
Evolsaur Cerato	Monster	Fire	Effect	None	Dinosaur	4	1900	1400	0	0	None	None
Evolsaur Diplo	Monster	Fire	Effect	None	Dinosaur	4	1600	800	0	0	None	None
Evolsaur Pelta	Monster	Fire	Effect	None	Dinosaur	4	1100	2000	0	0	None	None
Evolsaur Vulcano	Monster	Fire	Effect	None	Dinosaur	4	1200	1000	0	0	None	None
Evoltile Gephyro	Monster	Fire	Effect	None	Reptile	1	200	400	0	0	None	None
Evoltile Odonto	Monster	Fire	Effect	None	Reptile	2	500	1200	0	0	None	None
Evoltile Westlo	Monster	Fire	Effect	None	Reptile	3	700	1900	0	0	None	None
Evolzar Dolkka	Monster	Fire	Xyz	Effect	Dragon	4	2300	1700	0	0	None	None
Evolzar Laggia	Monster	Fire	Xyz	Effect	Dragon	4	2400	2000	0	0	None	None
Exarion Universe	Monster	Dark	Effect	None	BeastWarrior	4	1800	1900	0	0	None	None
Exiled Force	Monster	Earth	Effect	None	Warrior	4	1000	1000	0	0	None	None
Exodia Necross	Monster	Dark	Effect	None	Spellcaster	4	1800	0	0	0	None	None
Exodia the Forbidden One	Monster	Dark	Effect	None	Spellcaster	3	1000	1000	0	0	None	None
Exodius the Ultimate Forbidden Lord	Monster	Dark	Effect	None	Spellcaster	10	0	0	0	0	None	None
Exploder Dragon	Monster	Earth	Effect	None	Dragon	3	1000	0	0	0	None	None
Exploder Dragonwing	Monster	Dark	Synchro	Effect	Dragon	7	2400	1600	0	0	None	None
Explosive Magician	Monster	Light	Synchro	Effect	Spellcaster	6	2500	1800	0	0	None	None
Expressroid	Monster	Earth	Effect	None	Machine	4	400	1600	0	0	None	None
Extra Veiler	Monster	Light	Effect	None	Spellcaster	2	600	200	0	0	None	None
Exxod, Master of The Guard	Monster	Earth	Effect	None	Rock	8	0	4000	0	0	None	None
Fabled Ashenveil	Monster	Light	Effect	None	Fiend	4	1600	1200	0	0	None	None
Fabled Dianaira	Monster	Light	Effect	None	Fiend	8	2800	100	0	0	None	None
Fabled Dyf	Monster	Light	Effect	None	Fiend	3	1400	1700	0	0	None	None
Fabled Krus	Monster	Light	Effect	None	Fiend	2	1000	800	0	0	None	None
Fabled Gallabas	Monster	Light	Effect	None	Fiend	4	1500	800	0	0	None	None
Fabled Grimro	Monster	Light	Effect	None	Fiend	4	1700	1000	0	0	None	None
Fabled Kushano	Monster	Light	Effect	Tuner	Fiend	3	1100	800	0	0	None	None
Fabled Leviathan	Monster	Light	Synchro	Effect	Fiend	10	3000	2000	0	0	None	None
Fabled Lurrie	Monster	Light	Effect	None	Fiend	1	200	400	0	0	None	None
Fabled Miztoji	Monster	Light	Effect	Tuner	Fiend	2	400	200	0	0	None	None
Fabled Oltro	Monster	Light	Effect	Tuner	Fiend	2	800	500	0	0	None	None
Fabled Ragin	Monster	Light	Synchro	Effect	Fiend	5	2300	1800	0	0	None	None
Fabled Raven	Monster	Light	Effect	Tuner	Fiend	2	1300	1000	0	0	None	None
Fabled Soulkius	Monster	Light	Effect	None	Fiend	6	2200	2100	0	0	None	None
Fabled Topi	Monster	Light	Effect	None	Fiend	1	500	200	0	0	None	None
Fabled Urustos	Monster	Light	Effect	None	Fiend	4	1500	200	0	0	None	None
Fabled Valkyrus	Monster	Light	Synchro	Effect	Fiend	8	2900	1700	0	0	None	None
Fairy Archer	Monster	Light	Effect	None	Fairy	3	1400	600	0	0	None	None
Fairy Dragon	Monster	Wind	Normal	None	Dragon	4	1100	1200	0	0	None	None
Fairy Guardian	Monster	Wind	Effect	None	Fairy	3	1000	1000	0	0	None	None
Fairy King Truesdale	Monster	Water	Effect	None	Plant	6	2200	1500	0	0	None	None
Fairy's Gift	Monster	Light	Normal	None	Spellcaster	4	1400	1000	0	0	None	None
Faith Bird	Monster	Wind	Normal	None	WingedBeast	4	1500	1100	0	0	None	None
FalchionBeta	Monster	Light	Effect	None	Machine	4	1200	800	0	0	None	None
Familiar Knight	Monster	Dark	Effect	None	Warrior	3	1200	1400	0	0	None	None
Familiar-Possessed - Aussa	Monster	Earth	Effect	None	Spellcaster	4	1850	1500	0	0	None	None
Familiar-Possessed - Eria	Monster	Water	Effect	None	Spellcaster	4	1850	1500	0	0	None	None
Familiar-Possessed - Hiita	Monster	Fire	Effect	None	Spellcaster	4	1850	1500	0	0	None	None
Familiar-Possessed - Wynn	Monster	Wind	Effect	None	Spellcaster	4	1850	1500	0	0	None	None
Fear from the Dark	Monster	Dark	Effect	None	Zombie	4	1700	1500	0	0	None	None
Featherizer	Monster	Wind	Effect	None	Spellcaster	2	700	1100	0	0	None	None
Feedback Warrior	Monster	Earth	Effect	None	Warrior	3	800	700	0	0	None	None
Felgrand Dragon	Monster	Light	Effect	None	Dragon	8	2800	2800	0	0	None	None
Fenghuang	Monster	Fire	Effect	Spirit	WingedBeast	6	2100	1800	0	0	None	None
Fenrir	Monster	Water	Effect	None	Beast	4	1400	1200	0	0	None	None
Feral Imp	Monster	Dark	Normal	None	Fiend	4	1300	1400	0	0	None	None
Fiber Jar	Monster	Earth	Effect	None	Plant	3	500	500	0	0	None	None
Field-Commander Rahz	Monster	Earth	Effect	None	Warrior	4	1600	1200	0	0	None	None
Fiend Reflection #2	Monster	Light	Normal	None	WingedBeast	4	1100	1400	0	0	None	None
Fiend Scorpion	Monster	Earth	Normal	None	Insect	2	900	200	0	0	None	None
Fiend Skull Dragon	Monster	Wind	Fusion	Effect	Dragon	5	2000	1200	0	0	None	None
Fiendish Engine Omega	Monster	Dark	Effect	None	Machine	8	2800	2000	0	0	None	None
Final Psychic Ogre	Monster	Earth	Effect	None	Psychic	5	2200	1700	0	0	None	None
Firebird	Monster	Fire	Effect	None	WingedBeast	4	1000	800	0	0	None	None
Fire Ant Ascator	Monster	Earth	Effect	Tuner	Insect	3	700	1300	0	0	None	None
Fire Kraken	Monster	Fire	Normal	None	Aqua	4	1600	1500	0	0	None	None
Fire Princess	Monster	Fire	Effect	None	Pyro	4	1300	1500	0	0	None	None
Fire Sorcerer	Monster	Fire	Effect	None	Spellcaster	4	1000	1500	0	0	None	None
Fire Trooper	Monster	Fire	Effect	None	Warrior	3	1000	1000	0	0	None	None
Firegrass	Monster	Earth	Normal	None	Plant	2	700	600	0	0	None	None
Firestorm Prominence	Monster	Fire	Normal	None	Reptile	7	2000	1500	0	0	None	None
Firewing Pegasus	Monster	Fire	Normal	None	Beast	6	2250	1800	0	0	None	None
Fireyarou	Monster	Fire	Normal	None	Pyro	4	1300	1000	0	0	None	None
Fishborg Blaster	Monster	Water	Effect	Tuner	Fish	1	100	200	0	0	None	None
Five-Headed Dragon	Monster	Dark	Fusion	Effect	Dragon	12	5000	5000	0	0	None	None
Flame Cerebrus	Monster	Fire	Normal	None	Pyro	6	2100	1800	0	0	None	None
Flame Champion	Monster	Fire	Normal	None	Pyro	5	1900	1300	0	0	None	None
Flame Dancer	Monster	Fire	Normal	None	Pyro	2	550	450	0	0	None	None
Flame Ghost	Monster	Dark	Fusion	None	Zombie	3	1000	800	0	0	None	None
Flame Manipulator	Monster	Fire	Normal	None	Spellcaster	3	900	1000	0	0	None	None
Flame Ogre	Monster	Fire	Effect	None	Fiend	7	2400	1700	0	0	None	None
Flame Ruler	Monster	Fire	Effect	None	Pyro	3	1500	1600	0	0	None	None
Flame Spirit Ignis	Monster	Fire	Effect	None	Pyro	4	1500	1200	0	0	None	None
Flame Swordsman	Monster	Fire	Fusion	None	Warrior	5	1800	1600	0	0	None	None
Flame Viper	Monster	Earth	Normal	None	Pyro	2	400	450	0	0	None	None
Flamvell Archer	Monster	Fire	Effect	Tuner	Pyro	3	1000	200	0	0	None	None
Flamvell Baby	Monster	Fire	Effect	Tuner	Pyro	1	800	200	0	0	None	None
Flamvell Commando	Monster	Fire	Effect	None	Pyro	6	2200	200	0	0	None	None
Flamvell Dragnov	Monster	Fire	Effect	None	Dragon	2	1100	200	0	0	None	None
Flamvell Fiend	Monster	Fire	Effect	None	Fiend	5	2100	1200	0	0	None	None
Flamvell Firedog	Monster	Fire	Effect	None	Beast	4	1900	200	0	0	None	None
Flamvell Grunika	Monster	Fire	Effect	None	Dragon	4	1700	200	0	0	None	None
Flamvell Guard	Monster	Fire	Effect	Tuner	Dragon	2	100	2000	0	0	None	None
Flamvell Magician	Monster	Fire	Effect	Tuner	Spellcaster	4	1400	200	0	0	None	None
Flamvell Poun	Monster	Fire	Effect	None	Pyro	1	200	200	0	0	None	None
Flamvell Uruquizas	Monster	Fire	Synchro	Effect	Pyro	6	2100	400	0	0	None	None
Flare Resonator	Monster	Fire	Effect	Tuner	Fiend	3	300	1300	0	0	None	None
Flash Assailant	Monster	Dark	Effect	None	Fiend	4	2000	2000	0	0	None	None
Flint Lock	Monster	Light	Effect	None	Machine	4	1500	800	0	0	None	None
Flip Flop Frog	Monster	Water	Effect	None	Aqua	2	500	200	0	0	None	None
Flower Wolf	Monster	Earth	Fusion	None	Beast	5	1800	1400	0	0	None	None
Fleur Synchron	Monster	Light	Effect	Tuner	Machine	2	400	200	0	0	None	None
Flyfang	Monster	Wind	Effect	None	Fish	3	1600	300	0	0	None	None
Flying Fish	Monster	Wind	Normal	None	Fish	4	800	500	0	0	None	None
Flying Fortress SKY FIRE	Monster	Wind	Effect	None	Machine	8	3000	2500	0	0	None	None
Flying Kamakiri #1	Monster	Wind	Effect	None	Insect	4	1400	900	0	0	None	None
Flying Kamakiri #2	Monster	Wind	Normal	None	Insect	4	1500	800	0	0	None	None
Flying Penguin	Monster	Water	Normal	None	Aqua	4	1200	1000	0	0	None	None
Flying Saucer Muusik'i	Monster	Light	Effect	None	Machine	5	1000	2000	0	0	None	None
Fog King	Monster	Water	Effect	None	Spellcaster	7	0	0	0	0	None	None
Force Resonator	Monster	Water	Effect	Tuner	Fiend	2	500	500	0	0	None	None
Formula Synchron	Monster	Light	Synchro	Tuner	Machine	2	200	1500	0	0	None	None
Fortress Warrior	Monster	Earth	Effect	None	Warrior	2	600	1200	0	0	None	None
Fortress Whale	Monster	Water	Ritual	None	Fish	7	2350	2150	0	0	None	None
Fortune Lady Dark	Monster	Dark	Effect	None	Spellcaster	5	0	0	0	0	None	None
Fortune Lady Earth	Monster	Earth	Effect	None	Spellcaster	6	0	0	0	0	None	None
Fortune Lady Fire	Monster	Fire	Effect	None	Spellcaster	2	0	0	0	0	None	None
Fortune Lady Light	Monster	Light	Effect	None	Spellcaster	1	0	0	0	0	None	None
Fortune Lady Water	Monster	Water	Effect	None	Spellcaster	4	0	0	0	0	None	None
Fortune Lady Wind	Monster	Wind	Effect	None	Spellcaster	3	0	0	0	0	None	None
Fossil Dyna Pachycephalo	Monster	Earth	Effect	None	Rock	4	1200	1300	0	0	None	None
Fossil Tusker	Monster	Earth	Effect	None	Rock	4	1800	0	0	0	None	None
Fox Fire	Monster	Fire	Effect	None	Pyro	2	300	200	0	0	None	None
Freed the Brave Wanderer	Monster	Light	Effect	None	Warrior	4	1700	1200	0	0	None	None
Freed the Matchless General	Monster	Earth	Effect	None	Warrior	5	2300	1700	0	0	None	None
Freezing Beast	Monster	Water	Effect	Union	Aqua	4	1500	1000	0	0	None	None
Frenzied Panda	Monster	Earth	Normal	None	Beast	4	1200	1000	0	0	None	None
Frequency Magician	Monster	Light	Effect	Tuner	Spellcaster	2	800	400	0	0	None	None
Freya, Spirit of Victory	Monster	Light	Effect	None	Fairy	1	100	100	0	0	None	None
Friller Rabca	Monster	Water	Effect	None	Fish	3	700	1500	0	0	None	None
Frog the Jam	Monster	Water	Normal	None	Aqua	2	700	500	0	0	None	None
Frontier Wiseman	Monster	Earth	Effect	None	Spellcaster	3	1600	800	0	0	None	None
Frost and Flame Dragon	Monster	Water	Effect	None	Dragon	6	2300	2000	0	0	None	None
Frostosaurus	Monster	Water	Normal	None	Dinosaur	6	2600	1700	0	0	None	None
Frozen Fitzgerald	Monster	Water	Synchro	Effect	Fiend	5	2500	2500	0	0	None	None
Fushi No Tori	Monster	Fire	Effect	Spirit	WingedBeast	4	1200	0	0	0	None	None
Fushioh Richie	Monster	Dark	Effect	None	Zombie	7	2600	2900	0	0	None	None
Fusilier Dragon, the Dual-Mode Beast	Monster	Dark	Effect	None	Machine	7	2800	2000	0	0	None	None
Fusion Devourer	Monster	Dark	Effect	None	Fiend	4	1400	1200	0	0	None	None
Fusionist	Monster	Earth	Fusion	None	Beast	3	900	700	0	0	None	None
Future Samurai	Monster	Light	Effect	Gemini	Warrior	4	1600	1200	0	0	None	None
Gaap the Divine Soldier	Monster	Dark	Effect	None	Fiend	6	2200	2000	0	0	None	None
Gachi Gachi Gantetsu	Monster	Earth	Xyz	Effect	Rock	2	500	1800	0	0	None	None
Gadget Arms	Monster	Water	Effect	None	Machine	2	200	400	0	0	None	None
Gadget Driver	Monster	Earth	Effect	None	Machine	1	200	200	0	0	None	None
Gadget Hauler	Monster	Earth	Effect	None	Machine	6	1300	0	0	0	None	None
Gadget Soldier	Monster	Fire	Normal	None	Machine	6	1800	2000	0	0	None	None
Gagaga Magician	Monster	Dark	Effect	None	Spellcaster	4	1500	1000	0	0	None	None
Gagagigo	Monster	Water	Normal	None	Reptile	4	1850	1000	0	0	None	None
Gaia Drake, the Universal Force	Monster	Earth	Fusion	Effect	BeastWarrior	10	3500	2800	0	0	None	None
Gaia Knight, the Force of Earth	Monster	Earth	Synchro	None	Warrior	6	2600	800	0	0	None	None
Gaia Soul the Combustible Collective	Monster	Fire	Effect	None	Pyro	4	2000	0	0	0	None	None
Gaia the Dragon Champion	Monster	Wind	Fusion	None	Dragon	7	2600	2100	0	0	None	None
Gaia the Fierce Knight	Monster	Earth	Normal	None	Warrior	7	2300	2100	0	0	None	None
Gaia Plate the Earth Giant	Monster	Earth	Effect	None	Rock	8	2800	1000	0	0	None	None
Galaxy-Eyes Photon Dragon	Monster	Light	Effect	None	Dragon	8	3000	2500	0	0	None	None
Gale Dogra	Monster	Earth	Effect	None	Insect	2	650	600	0	0	None	None
Gale Lizard	Monster	Water	Effect	None	Reptile	4	1400	700	0	0	None	None
Gallis the Star Beast	Monster	Earth	Effect	None	Beast	3	800	800	0	0	None	None
Gambler of Legend	Monster	Dark	Effect	None	Spellcaster	4	500	1400	0	0	None	None
Gamma The Magnet Warrior	Monster	Earth	Normal	None	Rock	4	1500	1800	0	0	None	None
Ganbara Knight	Monster	Light	Effect	None	Warrior	4	0	1800	0	0	None	None
Gandora the Dragon of Destruction	Monster	Dark	Effect	None	Dragon	8	0	0	0	0	None	None
Garmr of the Nordic Beasts	Monster	Dark	Effect	None	Beast	4	800	1900	0	0	None	None
Garlandolf, King of Destruction	Monster	Dark	Ritual	Effect	Fiend	7	2500	1400	0	0	None	None
Garma Sword	Monster	Dark	Ritual	None	Warrior	7	2550	2150	0	0	None	None
Garnecia Elefantis	Monster	Earth	Normal	None	BeastWarrior	7	2400	2000	0	0	None	None
Garoozis	Monster	Fire	Normal	None	BeastWarrior	5	1800	1500	0	0	None	None
Garoth, Lightsworn Warrior	Monster	Light	Effect	None	Warrior	4	1850	1300	0	0	None	None
Garuda the Wind Spirit	Monster	Wind	Effect	None	WingedBeast	4	1600	1200	0	0	None	None
Gate Guardian	Monster	Dark	Effect	None	Warrior	11	3750	3400	0	0	None	None
Gatekeeper	Monster	Dark	Normal	None	Machine	5	1500	1800	0	0	None	None
Gatling Dragon	Monster	Dark	Fusion	Effect	Machine	8	2600	1200	0	0	None	None
Gauntlet Warrior	Monster	Earth	Effect	None	Warrior	3	400	1600	0	0	None	None
Gazelle the King of Mythical Beasts	Monster	Earth	Normal	None	Beast	4	1500	1200	0	0	None	None
G.B. Hunter	Monster	Earth	Effect	None	Warrior	4	1200	2000	0	0	None	None
Gearfried the Iron Knight	Monster	Earth	Effect	None	Warrior	4	1800	1600	0	0	None	None
Gearfried the Swordmaster	Monster	Light	Effect	None	Warrior	7	2600	2200	0	0	None	None
Geargiano	Monster	Earth	Effect	None	Machine	3	500	1000	0	0	None	None
Gear Golem the Moving Fortress	Monster	Earth	Effect	None	Machine	4	800	2200	0	0	None	None
Gellenduo	Monster	Light	Effect	None	Fairy	4	1700	0	0	0	None	None
Gem-Armadillo	Monster	Earth	Effect	None	Rock	4	1700	500	0	0	None	None
Gem-Elephant	Monster	Earth	Effect	None	Rock	3	400	1900	0	0	None	None
Gem-Knight Alexandrite	Monster	Earth	Effect	None	Rock	4	1800	1200	0	0	None	None
Gem-Knight Aquamarine	Monster	Earth	Fusion	Effect	Aqua	6	1400	2600	0	0	None	None
Gem-Knight Emerald	Monster	Earth	Effect	None	Rock	4	1800	800	0	0	None	None
Gem-Knight Garnet	Monster	Earth	Normal	None	Pyro	4	1900	0	0	0	None	None
Gem-Knight Ruby	Monster	Earth	Fusion	Effect	Pyro	6	2500	1300	0	0	None	None
Gem-Knight Sapphire	Monster	Earth	Normal	None	Aqua	4	0	2100	0	0	None	None
Gem-Knight Topaz	Monster	Earth	Fusion	Effect	Thunder	6	1800	1800	0	0	None	None
Gem-Knight Tourmaline	Monster	Earth	Normal	None	Thunder	4	1600	1800	0	0	None	None
Gem-Merchant	Monster	Earth	Effect	None	Spellcaster	3	1000	1000	0	0	None	None
Gem-Turtle	Monster	Earth	Effect	None	Rock	4	0	2000	0	0	None	None
Gemini Elf	Monster	Earth	Normal	None	Spellcaster	4	1900	900	0	0	None	None
Gemini Imps	Monster	Dark	Effect	None	Fiend	4	1000	1000	0	0	None	None
Gemini Lancer	Monster	Water	Effect	Gemini	SeaSerpent	4	1800	1400	0	0	None	None
Gemini Scorpion	Monster	Earth	Effect	None	Warrior	4	1600	400	0	0	None	None
Gemini Soldier	Monster	Wind	Effect	Gemini	Warrior	2	500	300	0	0	None	None
Gemini Summoner	Monster	Water	Effect	None	Spellcaster	4	1500	0	0	0	None	None
General Gantala of the Ice Barrier	Monster	Water	Effect	None	Warrior	7	2700	2000	0	0	None	None
General Grunard of the Ice Barrier	Monster	Water	Effect	None	Warrior	8	2800	1000	0	0	None	None
General Raiho of the Ice Barrier	Monster	Water	Effect	None	Warrior	6	2100	2300	0	0	None	None
Genesis Dragon	Monster	Light	Effect	None	Dragon	6	2200	1800	0	0	None	None
Genetic Woman	Monster	Wind	Effect	None	Psychic	4	1700	1200	0	0	None	None
Gene-Warped Warwolf	Monster	Earth	Normal	None	BeastWarrior	4	2000	100	0	0	None	None
Genex Ally Axel	Monster	Dark	Synchro	Effect	Machine	8	2600	2000	0	0	None	None
Genex Ally Bellflame	Monster	Dark	Effect	None	Machine	4	1700	1000	0	0	None	None
Genex Ally Birdman	Monster	Dark	Effect	Tuner	Machine	3	1400	400	0	0	None	None
Genex Ally Changer	Monster	Dark	Effect	None	Machine	3	1200	1800	0	0	None	None
Genex Ally Chemistrer	Monster	Dark	Effect	Tuner	Machine	2	200	500	0	0	None	None
Genex Ally Crusher	Monster	Dark	Effect	None	Machine	4	1000	2000	0	0	None	None
Genex Ally Duradark	Monster	Dark	Effect	None	Machine	4	1800	200	0	0	None	None
Genex Ally Powercell	Monster	Dark	Effect	None	Machine	4	1700	0	0	0	None	None
Genex Ally Reliever	Monster	Dark	Effect	None	Machine	5	2200	1000	0	0	None	None
Genex Ally Remote	Monster	Dark	Effect	Tuner	Machine	3	500	1800	0	0	None	None
Genex Ally Solid	Monster	Dark	Effect	None	Machine	2	500	1200	0	0	None	None
Genex Ally Triarm	Monster	Dark	Synchro	Effect	Machine	6	2400	1600	0	0	None	None
Genex Ally Triforce	Monster	Dark	Synchro	Effect	Machine	7	2500	2100	0	0	None	None
Genex Ally Volcannon	Monster	Dark	Effect	None	Machine	4	1700	600	0	0	None	None
Genex Army	Monster	Earth	Effect	None	Machine	6	2300	1300	0	0	None	None
